date,series,value,method,field
2020-11-20,USDCNY.IB:close,6.5714,wsd,close
2020-11-23,USDCNY.IB:close,6.5694,wsd,close
2020-11-24,USDCNY.IB:close,6.5761,wsd,close
2020-11-25,USDCNY.IB:close,6.5796,wsd,close
2020-11-26,USDCNY.IB:close,6.5729,wsd,close
2020-11-27,USDCNY.IB:close,6.5823,wsd,close
2020-11-30,USDCNY.IB:close,6.5827,wsd,close
2020-12-01,USDCNY.IB:close,6.5707,wsd,close
2020-12-02,USDCNY.IB:close,6.5684,wsd,close
2020-12-03,USDCNY.IB:close,6.559,wsd,close
2020-12-04,USDCNY.IB:close,6.5302,wsd,close
2020-12-07,USDCNY.IB:close,6.5382,wsd,close
2020-12-08,USDCNY.IB:close,6.532,wsd,close
2020-12-09,USDCNY.IB:close,6.5374,wsd,close
2020-12-10,USDCNY.IB:close,6.548,wsd,close
2020-12-11,USDCNY.IB:close,6.5411,wsd,close
2020-12-14,USDCNY.IB:close,6.5367,wsd,close
2020-12-15,USDCNY.IB:close,6.5446,wsd,close
2020-12-16,USDCNY.IB:close,6.5378,wsd,close
2020-12-17,USDCNY.IB:close,6.5335,wsd,close
2020-12-18,USDCNY.IB:close,6.5415,wsd,close
2020-12-21,USDCNY.IB:close,6.5494,wsd,close
2020-12-22,USDCNY.IB:close,6.548,wsd,close
2020-12-23,USDCNY.IB:close,6.5378,wsd,close
2020-12-24,USDCNY.IB:close,6.532,wsd,close
2020-12-25,USDCNY.IB:close,6.5241,wsd,close
2020-12-28,USDCNY.IB:close,6.5375,wsd,close
2020-12-29,USDCNY.IB:close,6.5305,wsd,close
2020-12-30,USDCNY.IB:close,6.5307,wsd,close
2020-12-31,USDCNY.IB:close,6.5398,wsd,close
2021-01-04,USDCNY.IB:close,6.4628,wsd,close
2021-01-05,USDCNY.IB:close,6.464,wsd,close
2021-01-06,USDCNY.IB:close,6.4615,wsd,close
2021-01-07,USDCNY.IB:close,6.4567,wsd,close
2021-01-08,USDCNY.IB:close,6.4719,wsd,close
2021-01-11,USDCNY.IB:close,6.4748,wsd,close
2021-01-12,USDCNY.IB:close,6.467,wsd,close
2021-01-13,USDCNY.IB:close,6.4659,wsd,close
2021-01-14,USDCNY.IB:close,6.4678,wsd,close
2021-01-15,USDCNY.IB:close,6.4752,wsd,close
2021-01-18,USDCNY.IB:close,6.493,wsd,close
2021-01-19,USDCNY.IB:close,6.4872,wsd,close
2021-01-20,USDCNY.IB:close,6.4676,wsd,close
2021-01-21,USDCNY.IB:close,6.4643,wsd,close
2021-01-22,USDCNY.IB:close,6.4777,wsd,close
2021-01-25,USDCNY.IB:close,6.4763,wsd,close
2021-01-26,USDCNY.IB:close,6.4756,wsd,close
2021-01-27,USDCNY.IB:close,6.4671,wsd,close
2021-01-28,USDCNY.IB:close,6.4758,wsd,close
2021-01-29,USDCNY.IB:close,6.4612,wsd,close
2021-02-01,USDCNY.IB:close,6.4641,wsd,close
2021-02-02,USDCNY.IB:close,6.4597,wsd,close
2021-02-03,USDCNY.IB:close,6.4587,wsd,close
2021-02-04,USDCNY.IB:close,6.4629,wsd,close
2021-02-05,USDCNY.IB:close,6.481,wsd,close
2021-02-08,USDCNY.IB:close,6.4583,wsd,close
2021-02-09,USDCNY.IB:close,6.4487,wsd,close
2021-02-10,USDCNY.IB:close,6.438,wsd,close
2021-02-18,USDCNY.IB:close,6.4706,wsd,close
2021-02-19,USDCNY.IB:close,6.4575,wsd,close
2021-02-22,USDCNY.IB:close,6.4675,wsd,close
2021-02-23,USDCNY.IB:close,6.4606,wsd,close
2021-02-24,USDCNY.IB:close,6.453,wsd,close
2021-02-25,USDCNY.IB:close,6.45,wsd,close
2021-02-26,USDCNY.IB:close,6.459,wsd,close
2021-03-01,USDCNY.IB:close,6.4615,wsd,close
2021-03-02,USDCNY.IB:close,6.4699,wsd,close
2021-03-03,USDCNY.IB:close,6.462,wsd,close
2021-03-04,USDCNY.IB:close,6.469,wsd,close
2021-03-05,USDCNY.IB:close,6.4768,wsd,close
2021-03-08,USDCNY.IB:close,6.5233,wsd,close
2021-03-09,USDCNY.IB:close,6.518,wsd,close
2021-03-10,USDCNY.IB:close,6.5116,wsd,close
2021-03-11,USDCNY.IB:close,6.4911,wsd,close
2021-03-12,USDCNY.IB:close,6.5036,wsd,close
2021-03-15,USDCNY.IB:close,6.5031,wsd,close
2021-03-16,USDCNY.IB:close,6.4995,wsd,close
2021-03-17,USDCNY.IB:close,6.503,wsd,close
2021-03-18,USDCNY.IB:close,6.5017,wsd,close
2021-03-19,USDCNY.IB:close,6.5045,wsd,close
2021-03-22,USDCNY.IB:close,6.51,wsd,close
2021-03-23,USDCNY.IB:close,6.5108,wsd,close
2021-03-24,USDCNY.IB:close,6.5236,wsd,close
2021-03-25,USDCNY.IB:close,6.534,wsd,close
2021-03-26,USDCNY.IB:close,6.5407,wsd,close
2021-03-29,USDCNY.IB:close,6.5626,wsd,close
2021-03-30,USDCNY.IB:close,6.5677,wsd,close
2021-03-31,USDCNY.IB:close,6.5566,wsd,close
2021-04-01,USDCNY.IB:close,6.5739,wsd,close
2021-04-02,USDCNY.IB:close,6.5612,wsd,close
2021-04-06,USDCNY.IB:close,6.5501,wsd,close
2021-04-07,USDCNY.IB:close,6.546,wsd,close
2021-04-08,USDCNY.IB:close,6.549,wsd,close
2021-04-09,USDCNY.IB:close,6.5589,wsd,close
2021-04-12,USDCNY.IB:close,6.5514,wsd,close
2021-04-13,USDCNY.IB:close,6.5487,wsd,close
2021-04-14,USDCNY.IB:close,6.5334,wsd,close
2021-04-15,USDCNY.IB:close,6.5322,wsd,close
2021-04-16,USDCNY.IB:close,6.5228,wsd,close
2021-04-19,USDCNY.IB:close,6.5115,wsd,close
2021-04-20,USDCNY.IB:close,6.4953,wsd,close
2021-04-21,USDCNY.IB:close,6.4951,wsd,close
2021-04-22,USDCNY.IB:close,6.4888,wsd,close
2021-04-23,USDCNY.IB:close,6.4936,wsd,close
2021-04-26,USDCNY.IB:close,6.4878,wsd,close
2021-04-27,USDCNY.IB:close,6.486,wsd,close
2021-04-28,USDCNY.IB:close,6.4847,wsd,close
2021-04-29,USDCNY.IB:close,6.4652,wsd,close
2021-04-30,USDCNY.IB:close,6.4716,wsd,close
2021-05-06,USDCNY.IB:close,6.4739,wsd,close
2021-05-07,USDCNY.IB:close,6.4589,wsd,close
2021-05-10,USDCNY.IB:close,6.4173,wsd,close
2021-05-11,USDCNY.IB:close,6.427,wsd,close
2021-05-12,USDCNY.IB:close,6.4425,wsd,close
2021-05-13,USDCNY.IB:close,6.4549,wsd,close
2021-05-14,USDCNY.IB:close,6.4347,wsd,close
2021-05-17,USDCNY.IB:close,6.4416,wsd,close
2021-05-18,USDCNY.IB:close,6.4245,wsd,close
2021-05-19,USDCNY.IB:close,6.4382,wsd,close
2021-05-20,USDCNY.IB:close,6.4353,wsd,close
2021-05-21,USDCNY.IB:close,6.4337,wsd,close
2021-05-24,USDCNY.IB:close,6.4293,wsd,close
2021-05-25,USDCNY.IB:close,6.4078,wsd,close
2021-05-26,USDCNY.IB:close,6.393,wsd,close
2021-05-27,USDCNY.IB:close,6.3758,wsd,close
2021-05-28,USDCNY.IB:close,6.3654,wsd,close
2021-05-31,USDCNY.IB:close,6.3607,wsd,close
2021-06-01,USDCNY.IB:close,6.3759,wsd,close
2021-06-02,USDCNY.IB:close,6.3872,wsd,close
2021-06-03,USDCNY.IB:close,6.3932,wsd,close
2021-06-04,USDCNY.IB:close,6.4092,wsd,close
2021-06-07,USDCNY.IB:close,6.3961,wsd,close
2021-06-08,USDCNY.IB:close,6.3972,wsd,close
2021-06-09,USDCNY.IB:close,6.3899,wsd,close
2021-06-10,USDCNY.IB:close,6.3903,wsd,close
2021-06-11,USDCNY.IB:close,6.3914,wsd,close
2021-06-15,USDCNY.IB:close,6.4021,wsd,close
2021-06-16,USDCNY.IB:close,6.3974,wsd,close
2021-06-17,USDCNY.IB:close,6.4277,wsd,close
2021-06-18,USDCNY.IB:close,6.4408,wsd,close
2021-06-21,USDCNY.IB:close,6.4705,wsd,close
2021-06-22,USDCNY.IB:close,6.4733,wsd,close
2021-06-23,USDCNY.IB:close,6.4808,wsd,close
2021-06-24,USDCNY.IB:close,6.4732,wsd,close
2021-06-25,USDCNY.IB:close,6.4553,wsd,close
2021-06-28,USDCNY.IB:close,6.4565,wsd,close
2021-06-29,USDCNY.IB:close,6.4575,wsd,close
2021-06-30,USDCNY.IB:close,6.4612,wsd,close
2021-07-01,USDCNY.IB:close,6.464,wsd,close
2021-07-02,USDCNY.IB:close,6.4825,wsd,close
2021-07-05,USDCNY.IB:close,6.4608,wsd,close
2021-07-06,USDCNY.IB:close,6.4627,wsd,close
2021-07-07,USDCNY.IB:close,6.4639,wsd,close
2021-07-08,USDCNY.IB:close,6.4811,wsd,close
2021-07-09,USDCNY.IB:close,6.4847,wsd,close
2021-07-12,USDCNY.IB:close,6.4727,wsd,close
2021-07-13,USDCNY.IB:close,6.4651,wsd,close
2021-07-14,USDCNY.IB:close,6.4728,wsd,close
2021-07-15,USDCNY.IB:close,6.4612,wsd,close
2021-07-16,USDCNY.IB:close,6.4678,wsd,close
2021-07-19,USDCNY.IB:close,6.4835,wsd,close
2021-07-20,USDCNY.IB:close,6.48,wsd,close
2021-07-21,USDCNY.IB:close,6.4743,wsd,close
2021-07-22,USDCNY.IB:close,6.4661,wsd,close
2021-07-23,USDCNY.IB:close,6.4759,wsd,close
2021-07-26,USDCNY.IB:close,6.4827,wsd,close
2021-07-27,USDCNY.IB:close,6.504,wsd,close
2021-07-28,USDCNY.IB:close,6.5035,wsd,close
2021-07-29,USDCNY.IB:close,6.4628,wsd,close
2021-07-30,USDCNY.IB:close,6.456,wsd,close
2021-08-02,USDCNY.IB:close,6.4609,wsd,close
2021-08-03,USDCNY.IB:close,6.4649,wsd,close
2021-08-04,USDCNY.IB:close,6.4619,wsd,close
2021-08-05,USDCNY.IB:close,6.4611,wsd,close
2021-08-06,USDCNY.IB:close,6.4688,wsd,close
2021-08-09,USDCNY.IB:close,6.478,wsd,close
2021-08-10,USDCNY.IB:close,6.4807,wsd,close
2021-08-11,USDCNY.IB:close,6.487,wsd,close
2021-08-12,USDCNY.IB:close,6.4771,wsd,close
2021-08-13,USDCNY.IB:close,6.483,wsd,close
2021-08-16,USDCNY.IB:close,6.4756,wsd,close
2021-08-17,USDCNY.IB:close,6.4799,wsd,close
2021-08-18,USDCNY.IB:close,6.4801,wsd,close
2021-08-19,USDCNY.IB:close,6.4929,wsd,close
2021-08-20,USDCNY.IB:close,6.5,wsd,close
2021-08-23,USDCNY.IB:close,6.4902,wsd,close
2021-08-24,USDCNY.IB:close,6.4778,wsd,close
2021-08-25,USDCNY.IB:close,6.4742,wsd,close
2021-08-26,USDCNY.IB:close,6.4837,wsd,close
2021-08-27,USDCNY.IB:close,6.4797,wsd,close
2021-08-30,USDCNY.IB:close,6.466,wsd,close
2021-08-31,USDCNY.IB:close,6.4645,wsd,close
2021-09-01,USDCNY.IB:close,6.4652,wsd,close
2021-09-02,USDCNY.IB:close,6.4617,wsd,close
2021-09-03,USDCNY.IB:close,6.4565,wsd,close
2021-09-06,USDCNY.IB:close,6.4538,wsd,close
2021-09-07,USDCNY.IB:close,6.4604,wsd,close
2021-09-08,USDCNY.IB:close,6.4622,wsd,close
2021-09-09,USDCNY.IB:close,6.4572,wsd,close
2021-09-10,USDCNY.IB:close,6.4408,wsd,close
2021-09-13,USDCNY.IB:close,6.455,wsd,close
2021-09-14,USDCNY.IB:close,6.4433,wsd,close
2021-09-15,USDCNY.IB:close,6.4351,wsd,close
2021-09-16,USDCNY.IB:close,6.4447,wsd,close
2021-09-17,USDCNY.IB:close,6.4521,wsd,close
2021-09-22,USDCNY.IB:close,6.4683,wsd,close
2021-09-23,USDCNY.IB:close,6.4594,wsd,close
2021-09-24,USDCNY.IB:close,6.4645,wsd,close
2021-09-27,USDCNY.IB:close,6.4614,wsd,close
2021-09-28,USDCNY.IB:close,6.4592,wsd,close
2021-09-29,USDCNY.IB:close,6.468,wsd,close
2021-09-30,USDCNY.IB:close,6.4626,wsd,close
2021-10-08,USDCNY.IB:close,6.4491,wsd,close
2021-10-11,USDCNY.IB:close,6.4377,wsd,close
2021-10-12,USDCNY.IB:close,6.4565,wsd,close
2021-10-13,USDCNY.IB:close,6.4452,wsd,close
2021-10-14,USDCNY.IB:close,6.4339,wsd,close
2021-10-15,USDCNY.IB:close,6.4291,wsd,close
2021-10-18,USDCNY.IB:close,6.4345,wsd,close
2021-10-19,USDCNY.IB:close,6.3998,wsd,close
2021-10-20,USDCNY.IB:close,6.3936,wsd,close
2021-10-21,USDCNY.IB:close,6.3988,wsd,close
2021-10-22,USDCNY.IB:close,6.3903,wsd,close
2021-10-25,USDCNY.IB:close,6.381,wsd,close
2021-10-26,USDCNY.IB:close,6.3812,wsd,close
2021-10-27,USDCNY.IB:close,6.3934,wsd,close
2021-10-28,USDCNY.IB:close,6.4006,wsd,close
2021-10-29,USDCNY.IB:close,6.4009,wsd,close
2021-11-01,USDCNY.IB:close,6.4032,wsd,close
2021-11-02,USDCNY.IB:close,6.3985,wsd,close
2021-11-03,USDCNY.IB:close,6.397,wsd,close
2021-11-04,USDCNY.IB:close,6.3956,wsd,close
2021-11-05,USDCNY.IB:close,6.4013,wsd,close
2021-11-08,USDCNY.IB:close,6.3981,wsd,close
2021-11-09,USDCNY.IB:close,6.395,wsd,close
2021-11-10,USDCNY.IB:close,6.3915,wsd,close
2021-11-11,USDCNY.IB:close,6.4048,wsd,close
2021-11-12,USDCNY.IB:close,6.3902,wsd,close
2021-11-15,USDCNY.IB:close,6.3803,wsd,close
2021-11-16,USDCNY.IB:close,6.377,wsd,close
2021-11-17,USDCNY.IB:close,6.3817,wsd,close
2021-11-18,USDCNY.IB:close,6.3809,wsd,close
2021-11-19,USDCNY.IB:close,6.3811,wsd,close
2021-11-22,USDCNY.IB:close,6.3759,wsd,close
2021-11-23,USDCNY.IB:close,6.3845,wsd,close
2021-11-24,USDCNY.IB:close,6.3877,wsd,close
2021-11-25,USDCNY.IB:close,6.3894,wsd,close
2021-11-26,USDCNY.IB:close,6.3913,wsd,close
2021-11-29,USDCNY.IB:close,6.3821,wsd,close
2021-11-30,USDCNY.IB:close,6.3701,wsd,close
2021-12-01,USDCNY.IB:close,6.3705,wsd,close
2021-12-02,USDCNY.IB:close,6.373,wsd,close
2021-12-03,USDCNY.IB:close,6.369,wsd,close
2021-12-06,USDCNY.IB:close,6.3715,wsd,close
2021-12-07,USDCNY.IB:close,6.3678,wsd,close
2021-12-08,USDCNY.IB:close,6.3535,wsd,close
2021-12-09,USDCNY.IB:close,6.3457,wsd,close
2021-12-10,USDCNY.IB:close,6.3704,wsd,close
2021-12-13,USDCNY.IB:close,6.3631,wsd,close
2021-12-14,USDCNY.IB:close,6.3634,wsd,close
2021-12-15,USDCNY.IB:close,6.3652,wsd,close
2021-12-16,USDCNY.IB:close,6.3679,wsd,close
2021-12-17,USDCNY.IB:close,6.3742,wsd,close
2021-12-20,USDCNY.IB:close,6.3781,wsd,close
2021-12-21,USDCNY.IB:close,6.3707,wsd,close
2021-12-22,USDCNY.IB:close,6.3721,wsd,close
2021-12-23,USDCNY.IB:close,6.3702,wsd,close
2021-12-24,USDCNY.IB:close,6.37,wsd,close
2021-12-27,USDCNY.IB:close,6.3725,wsd,close
2021-12-28,USDCNY.IB:close,6.3713,wsd,close
2021-12-29,USDCNY.IB:close,6.3714,wsd,close
